Student Age,Income,Demographics,Learning Methods,Listening Skills,Study Hours per Week,Tech Proficiency,Attendance Rate,Time Management Skills,Motivation Level,Family Support,Correct Response Rate,Response Time (ms),Confidence Level,Recommended Learning Path,Intervention Flag,Content Difficulty Level,Number of Tutor Sessions,Engagement with Supplemental Resources,Personalization Score
30,76472,Urban,Online,Visual,36,Intermediate,74.87,Average,6,Low,0.99,9067,8.2,"Algorithms, Data Structures, System Design",False,Easy,4,0.7,0.34
29,64487,Suburban,Offline,Visual,22,Intermediate,68.4,Poor,1,Low,0.57,6868,6.1,"Linear Regression, Neural Networks, Deep Learning",False,Hard,1,0.97,0.09
27,98183,Suburban,Offline,Kinesthetic,37,Advanced,53.13,Average,7,Medium,0.97,3187,4.3,"Algorithms, Data Structures, System Design",False,Medium,0,0.83,0.05
24,88189,Urban,Online,Hearing,5,Advanced,61.14,Poor,5,High,0.91,8985,5.8,"Statistical Analysis, Data Visualization, Data Cleaning",True,Hard,4,0.11,0.02
21,82920,Suburban,Offline,Kinesthetic,2,Advanced,57.89,Average,2,Low,0.82,2162,7.7,"Linear Regression, Neural Networks, Deep Learning",True,Medium,13,0.0,0.27
18,65509,Rural,Online,Hearing,9,Beginner,50.3,Poor,5,Low,0.55,6964,9.5,"Linear Regression, Neural Networks, Deep Learning",True,Easy,3,0.21,0.37
32,45628,Rural,Hybrid,Visual,2,Intermediate,67.27,Poor,4,Medium,0.86,11059,3.1,"Algorithms, Data Structures, System Design",True,Medium,13,0.62,0.41
26,54808,Suburban,Hybrid,Visual,5,Beginner,60.47,Good,3,Low,0.87,7386,7.6,"Algorithms, Data Structures, System Design",True,Medium,5,0.61,0.63
23,29773,Suburban,Online,Visual,39,Advanced,63.0,Average,3,Medium,0.52,11495,4.6,"Linear Regression, Neural Networks, Deep Learning",True,Medium,12,0.49,1.0
26,73256,Rural,Offline,Visual,24,Advanced,89.92,Poor,8,Low,0.64,18047,8.5,"Algorithms, Data Structures, System Design",False,Hard,12,0.58,0.19
20,12911,Suburban,Hybrid,Hearing,37,Beginner,98.84,Poor,5,Medium,0.51,5206,8.3,"Linear Regression, Neural Networks, Deep Learning",True,Hard,10,0.21,0.54
26,72749,Urban,Offline,Kinesthetic,38,Advanced,71.42,Good,8,Low,0.55,18537,8.5,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,9,0.89,0.36
29,90244,Suburban,Offline,Kinesthetic,16,Advanced,55.78,Good,8,Low,0.85,19798,7.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,2,0.88,0.96
18,16067,Urban,Online,Hearing,13,Beginner,93.98,Good,6,Medium,0.86,14090,7.3,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,0,0.19,0.11
31,44734,Suburban,Hybrid,Kinesthetic,24,Advanced,63.85,Good,2,High,0.83,17333,4.6,"Linear Regression, Neural Networks, Deep Learning",True,Hard,7,0.6,0.71
18,73395,Urban,Hybrid,Hearing,6,Beginner,74.86,Good,5,Medium,0.54,11878,7.4,"Algorithms, Data Structures, System Design",False,Easy,6,0.47,0.89
30,57911,Suburban,Online,Visual,27,Intermediate,97.75,Average,4,High,0.58,6859,6.2,"Linear Regression, Neural Networks, Deep Learning",False,Easy,5,0.31,0.88
26,88492,Rural,Hybrid,Hearing,16,Intermediate,68.96,Good,1,High,0.75,1228,8.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,5,0.02,0.75
28,62744,Urban,Online,Hearing,16,Advanced,82.62,Poor,6,Low,0.91,12838,8.8,"Linear Regression, Neural Networks, Deep Learning",False,Easy,12,0.2,0.78
31,11100,Urban,Hybrid,Kinesthetic,10,Advanced,71.49,Poor,7,Medium,0.98,2903,9.8,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,4,0.43,0.81
31,96326,Rural,Online,Kinesthetic,2,Intermediate,90.44,Average,6,Low,0.64,3616,5.8,"Linear Regression, Neural Networks, Deep Learning",False,Hard,9,0.61,0.22
18,64842,Suburban,Hybrid,Hearing,37,Intermediate,77.55,Good,9,Medium,0.89,17324,7.7,"Algorithms, Data Structures, System Design",True,Easy,14,0.22,0.53
24,24073,Urban,Online,Visual,34,Advanced,72.72,Poor,8,Medium,0.72,9284,8.4,"Linear Regression, Neural Networks, Deep Learning",False,Hard,11,0.35,0.16
22,37512,Urban,Hybrid,Visual,1,Beginner,71.59,Average,9,High,0.85,2458,2.1,"Linear Regression, Neural Networks, Deep Learning",True,Easy,2,0.45,0.29
31,52925,Rural,Offline,Kinesthetic,10,Beginner,72.22,Good,3,Medium,0.9,17952,4.0,"Linear Regression, Neural Networks, Deep Learning",False,Hard,1,0.56,0.61
27,49728,Urban,Offline,Hearing,3,Beginner,64.56,Good,1,High,0.89,12247,9.3,"Algorithms, Data Structures, System Design",False,Hard,0,0.64,0.12
33,48367,Suburban,Online,Visual,27,Intermediate,69.31,Poor,4,High,0.73,4876,5.0,"Algorithms, Data Structures, System Design",True,Hard,1,0.99,0.23
27,84644,Urban,Hybrid,Hearing,35,Advanced,82.77,Good,6,Medium,0.5,7928,5.6,"Algorithms, Data Structures, System Design",False,Easy,4,0.24,0.02
29,61804,Urban,Online,Visual,13,Advanced,87.53,Average,9,Medium,0.77,13590,8.0,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,6,0.04,0.76
